location,Ho Chi Minh City,Ho Chi Minh City,Ho Chi Minh City,Ho Chi Minh City
lat,10.66656,10.66656,10.66656,10.66656
lon,106.40625,106.40625,106.40625,106.40625
asl,1.340,1.340,1.340,1.340
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20200604T1500,30.193207,0.5,5.334656,182.86241
20200604T1600,30.033207,0.5,5.068606,176.98721
20200604T1700,29.903208,0.5,5.3876066,171.46924
20200604T1800,29.293207,0.2,3.9603205,160.34618
20200604T1900,28.473207,0.0,1.5533656,120.96376
20200604T2000,28.093206,0.0,2.664,89.99999
20200604T2100,27.833208,0.0,2.6772869,95.71059
20200604T2200,27.573208,0.0,2.2761226,110.556046
20200604T2300,27.373207,0.0,2.4560866,139.3987
20200605T0000,27.223207,0.0,2.742756,150.94539
20200605T0100,26.993208,0.0,2.8815567,146.30994
20200605T0200,26.723207,0.0,2.664,143.1301
20200605T0300,26.543207,0.0,2.8318708,138.81407
20200605T0400,26.383207,0.0,2.664,126.869896
20200605T0500,26.243208,0.0,2.6237357,113.96249
20200605T0600,26.593206,0.0,3.2408962,99.46232
20200605T0700,28.483208,0.0,2.4560866,130.60129
20200605T0800,28.533207,0.7,3.4734309,175.60129
20200605T0900,28.893208,1.3,5.334656,182.86241
20200605T1000,28.923206,0.5,5.651197,188.1301
20200605T1100,28.963207,0.8,5.694981,190.7843
20200605T1200,28.843206,1.3,5.4919763,194.03624
20200605T1300,28.723207,1.1,5.1725526,191.88866
20200605T1400,28.543207,1.0,5.3079824,197.52557
20200605T1500,28.343206,0.7,5.1450386,201.2505
20200605T1600,28.183207,0.0,3.8142672,204.77515
20200605T1700,27.893208,0.0,2.028842,203.1986
20200605T1800,27.603207,0.0,1.7870656,206.56505
20200605T1900,28.723207,0.0,4.824709,173.6598
20200605T2000,28.443207,0.0,4.336678,169.38034
20200605T2100,28.103207,0.0,4.336678,169.38034
20200605T2200,27.813208,0.0,4.0313635,172.40535
20200605T2300,27.603207,0.0,3.7296,180.0
20200606T0000,27.323208,0.0,3.5039446,171.25385
20200606T0100,26.963207,0.0,3.9603205,160.34618
20200606T0200,26.683207,0.0,3.9333487,151.69923
20200606T0300,26.473207,0.0,3.700947,149.74356
20200606T0400,26.203207,0.0,4.066419,148.3925
20200606T0500,25.943207,0.0,4.4337797,147.26477
20200606T0600,26.453207,0.0,4.4337797,147.26477
20200606T0700,28.353207,0.0,6.4817924,170.53767
20200606T0800,29.053207,0.1,8.258399,180.0
20200606T0900,29.793207,0.2,11.201478,182.72632
20200606T1000,29.523207,0.2,10.393015,181.4688
20200606T1100,29.623207,0.4,9.8568,180.0
20200606T1200,29.673206,0.6,9.5904,180.0
