location,Hà Nội,Hà Nội,Hà Nội,Hà Nội
lat,20.33322,20.33322,20.33322,20.33322
lon,105.93750,105.93750,105.93750,105.93750
asl,32.773,32.773,32.773,32.773
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20200611T1800,32.797028,0.0,11.775965,142.35239
20200611T1900,31.007027,0.0,10.656,143.1301
20200611T2000,29.897026,0.0,10.9839525,157.16635
20200611T2100,29.247026,0.0,10.538806,159.27444
20200611T2200,28.787027,0.0,10.362241,162.03085
20200611T2300,28.577026,0.0,9.885558,165.96376
20200612T0000,28.457027,0.0,9.697107,164.05461
20200612T0100,28.097027,0.0,9.014403,161.02959
20200612T0200,27.777027,0.0,8.710098,156.5713
20200612T0300,27.547028,0.0,8.697869,152.65012
20200612T0400,27.517027,0.0,8.87156,138.65222
20200612T0500,27.977028,0.5,9.278219,129.17365
20200612T0600,28.317026,0.8,10.200025,130.76361
20200612T0700,29.127028,0.2,11.685216,136.84761
20200612T0800,31.107027,0.0,12.257295,178.75464
20200612T0900,32.447025,1.2,12.082348,165.96376
20200612T1000,34.667027,0.5,12.3926115,154.53665
20200612T1100,37.217026,0.0,13.439344,140.63068
20200612T1200,37.687027,0.0,14.316367,135.0
20200612T1300,35.147026,0.8,14.892213,137.17474
20200612T1400,33.987026,0.8,13.439344,140.63068
20200612T1500,34.817028,0.0,14.360911,139.51398
20200612T1600,33.367027,0.2,14.939793,140.06361
20200612T1700,33.787025,0.0,14.159354,138.81407
20200612T1800,32.42703,0.0,13.191508,136.63657
20200612T1900,30.827026,0.0,12.438341,136.7357
20200612T2000,29.997026,0.0,10.817939,142.00127
20200612T2100,29.707027,0.0,10.375929,150.80252
20200612T2200,29.557028,0.0,9.414894,154.88516
20200612T2300,29.387028,0.0,8.819409,154.98311
20200613T0000,29.137028,0.0,8.339639,153.43495
20200613T0100,28.687027,0.0,7.90719,147.38075
20200613T0200,28.427027,0.5,7.168091,138.01279
20200613T0300,28.107027,0.7,6.595754,133.36342
20200613T0400,27.807028,0.2,6.8075495,120.57922
20200613T0500,28.077026,1.6,7.1730394,111.80141
20200613T0600,28.457027,1.5,7.6285343,114.77514
20200613T0700,29.527027,0.0,9.827957,122.828545
20200613T0800,30.017027,4.2,8.599398,163.81079
20200613T0900,31.507027,1.1,7.2713056,118.442924
20200613T1000,31.837027,1.4,10.389601,112.61986
20200613T1100,31.977028,1.3,10.84415,117.8241
20200613T1200,33.047028,0.0,10.935388,124.077194
20200613T1300,34.787025,0.0,9.278219,129.17365
20200613T1400,35.617027,0.0,8.528962,128.6598
20200613T1500,33.617027,0.0,9.166637,125.537674
20200613T1600,33.217026,0.0,9.092791,121.82744
20200613T1700,33.707027,0.0,11.380612,122.57405
20200613T1800,32.377026,0.0,11.615162,126.60707
20200613T1900,30.577026,0.0,9.8604,128.41805
20200613T2000,29.727028,0.1,10.345105,124.508514
20200613T2100,29.367027,0.1,7.90719,122.61925
20200613T2200,29.177027,0.3,7.8666973,118.30075
20200613T2300,29.177027,0.9,7.6285343,114.77514
20200614T0000,28.827026,0.4,8.228268,119.054596
20200614T0100,28.457027,2.2,9.770018,115.86635
20200614T0200,28.367027,2.9,9.0576,118.07248
20200614T0300,27.587027,0.0,8.102239,117.40757
20200614T0400,27.697027,0.0,6.0865254,113.19859
20200614T0500,27.347027,0.0,4.552245,110.556046
20200614T0600,28.317026,0.0,4.212154,108.434944
20200614T0700,28.577026,0.9,7.544342,132.13759
20200614T0800,29.467028,0.3,6.287266,126.38435
20200614T0900,31.077026,0.4,6.9468617,122.47119
